Attendance,Internal_Marks,Assignment_Completion,Study_Hours,Previous_CGPA,Backlogs,Participation,Result_Risk
96.4,55.9,96.2,3.91,6.53,2,Medium,Low
77.4,52.5,81.0,0.0,5.39,1,Medium,High
100.0,78.5,61.6,1.07,7.64,0,Medium,Low
68.1,49.7,100.0,2.11,4.81,1,Medium,High
70.7,73.6,69.9,3.8,8.97,1,Low,Low
79.5,65.0,78.1,1.6,8.12,3,High,Medium
90.8,61.4,55.7,2.11,6.32,0,Low,Medium
83.5,63.3,27.0,4.1,7.76,1,Medium,Low
56.5,57.0,55.1,1.71,5.9,0,Low,Medium
77.7,35.3,72.0,3.62,5.62,2,Medium,High
75.3,67.9,81.3,1.16,7.86,1,High,Low
68.6,67.8,71.2,4.66,5.73,1,Low,Medium
65.3,52.4,86.6,5.28,7.24,1,High,Low
100.0,68.2,90.5,1.48,6.79,1,High,Low
69.1,71.2,90.5,0.0,8.82,1,Low,Medium
62.3,31.9,70.8,0.68,7.32,0,Low,High
84.6,52.4,72.4,4.6,8.84,2,Low,Low
77.0,47.0,66.5,2.32,7.99,0,High,Low
73.9,38.7,53.3,4.72,6.02,3,High,High
86.7,60.8,99.3,1.19,5.54,0,Medium,Low
82.3,39.8,45.9,1.77,4.41,1,High,High
80.4,47.2,69.3,2.99,6.98,2,Medium,Medium
89.5,59.4,75.3,4.74,3.6,1,Low,Medium
79.3,61.3,28.0,2.84,5.96,1,Medium,Medium
65.7,60.8,85.7,1.64,4.05,0,High,Medium
69.6,95.2,63.8,3.6,6.19,0,Low,Low
67.2,45.9,75.3,3.29,7.79,1,Medium,Medium
78.1,59.5,64.2,3.9,5.89,0,Low,Medium
58.8,33.3,40.1,2.9,6.27,1,Low,High
47.5,63.7,74.7,2.24,6.39,2,Low,High
76.3,75.8,72.9,3.19,7.26,2,High,Low
55.0,76.8,90.8,0.0,5.16,1,Low,High
45.7,43.6,80.3,3.55,7.06,0,Medium,Medium
80.6,50.0,37.2,4.98,6.81,0,Medium,Low
64.3,77.7,92.9,3.98,5.69,1,Low,Medium
82.4,53.3,86.8,1.75,5.75,0,Low,Medium
67.0,72.3,86.2,0.89,8.38,3,Medium,Medium
58.2,37.5,80.6,5.11,7.8,2,High,Medium
56.3,79.9,56.8,2.4,7.44,0,High,Low
67.3,73.5,81.5,2.85,5.93,1,Medium,Medium
70.9,63.4,63.6,3.49,6.51,0,High,Low
62.6,40.6,100.0,2.28,5.37,2,High,High
70.8,52.1,66.1,3.22,4.81,0,High,Medium
52.0,57.7,48.7,5.38,6.36,2,Low,High
75.2,59.7,64.1,2.42,6.2,3,Low,High
48.1,53.1,99.7,6.0,5.42,0,Low,Low
72.1,51.1,59.5,3.73,5.46,3,Low,High
85.5,58.5,22.0,3.63,7.36,0,High,Low
91.4,80.1,100.0,4.56,6.36,1,Medium,Low
100.0,18.9,77.4,4.52,5.02,0,High,Low
51.7,30.3,60.9,4.72,9.37,5,Medium,High
86.4,27.2,85.2,3.99,4.83,0,Medium,Medium
93.1,42.6,52.4,2.3,7.17,0,Low,Medium
89.7,23.7,47.4,5.57,5.71,2,Medium,High
61.1,65.0,89.9,2.94,7.73,0,Medium,Low
81.2,56.7,60.6,1.93,7.0,0,Medium,Low
100.0,50.4,81.5,4.49,8.13,0,Low,Low
52.5,42.7,71.1,4.13,6.83,0,Low,Medium
82.1,57.8,87.5,3.12,6.01,1,Medium,Medium
91.7,58.2,73.0,3.27,8.65,3,High,Low
64.6,60.9,29.9,4.03,6.84,0,Medium,Medium
83.7,41.9,84.5,6.02,6.66,0,High,Low
58.9,66.7,61.4,3.05,6.73,1,Medium,Medium
62.8,28.6,88.5,1.3,6.04,2,Medium,High
62.7,77.5,73.1,2.32,7.33,2,Low,High
77.9,0.0,99.3,3.92,8.93,0,Low,Low
73.6,44.3,64.6,2.87,8.71,2,Medium,Medium
89.3,33.4,29.7,2.18,7.27,1,Medium,High
60.9,69.2,64.4,4.24,7.69,1,Low,Medium
73.0,28.3,81.1,4.26,7.81,0,Medium,Low
89.4,87.8,64.0,2.86,6.15,1,High,Low
83.4,27.2,61.5,3.58,8.7,1,Medium,Low
55.1,91.5,100.0,2.22,7.21,0,Low,Low
85.0,63.1,67.8,2.26,4.73,1,Medium,Medium
67.8,55.6,91.9,2.66,7.65,0,Low,Low
80.8,62.8,73.8,1.15,5.82,1,Medium,Medium
79.5,94.5,41.9,3.66,7.27,2,High,Low
93.3,71.1,52.0,3.04,7.72,1,Medium,Low
76.7,14.8,64.5,2.4,6.54,1,Low,High
47.2,76.5,77.0,3.31,7.24,0,Low,Low
54.5,59.2,54.6,3.35,8.53,1,Medium,Medium
86.0,25.9,42.5,2.04,5.26,0,High,Medium
71.1,68.7,50.5,2.27,4.65,1,Medium,High
92.1,33.2,60.4,1.96,6.76,3,Low,High
79.1,58.3,53.1,5.14,6.62,1,High,Low
63.8,59.2,59.1,0.65,9.4,0,High,Low
91.2,43.3,100.0,3.01,8.1,0,High,Low
62.9,66.7,76.4,4.36,7.54,2,High,Medium
44.2,36.6,54.4,1.52,6.78,0,Medium,High
100.0,58.4,70.6,1.69,4.58,4,Medium,High
46.3,45.1,100.0,1.66,5.31,0,Low,High
84.5,51.7,83.7,0.43,6.51,2,Medium,High
89.1,89.6,68.7,4.83,7.12,2,Medium,Low
77.2,57.0,43.6,2.71,6.39,2,Medium,Medium
49.7,35.4,36.8,1.41,7.03,1,Medium,High
90.2,52.9,63.9,2.09,7.73,0,Medium,Low
53.4,41.2,68.6,3.28,6.04,0,Low,Medium
54.8,55.5,38.2,2.52,6.38,0,Medium,Medium
69.6,57.9,44.0,1.68,5.73,1,High,High
86.8,56.5,69.9,3.75,8.34,1,Medium,Low
79.5,56.5,26.4,1.68,4.46,0,Medium,High
87.2,45.2,36.2,2.4,7.61,1,Medium,Medium
68.3,63.1,69.7,3.24,7.81,0,Low,Low
72.4,74.0,81.9,1.9,4.45,2,High,High
57.9,43.8,77.1,3.09,6.31,3,High,High
70.2,53.9,90.7,2.02,8.18,0,High,Low
83.9,56.1,100.0,6.92,5.8,0,Medium,Low
70.5,77.6,88.7,2.36,6.19,1,Medium,Low
82.1,74.4,65.4,3.99,6.83,0,Medium,Low
66.4,41.9,100.0,1.69,8.46,0,Medium,Low
66.1,56.3,100.0,1.3,7.62,5,Medium,High
75.6,28.1,89.6,2.77,6.06,0,High,Medium
72.1,37.6,54.5,2.44,5.22,0,Medium,Medium
83.9,55.3,78.8,2.45,5.06,2,High,Medium
77.7,66.3,28.9,2.9,7.27,2,Low,High
100.0,72.2,64.2,4.26,4.27,1,Medium,Medium
71.7,49.4,21.0,5.78,6.17,0,Low,Medium
71.6,30.6,62.4,5.93,7.58,1,Medium,Low
59.4,62.1,91.4,3.03,5.42,1,Medium,Medium
75.3,51.9,71.3,5.65,6.48,1,Medium,Low
85.2,62.6,100.0,5.45,6.73,0,Low,Low
63.9,57.9,70.9,2.0,7.77,0,High,Low
74.3,67.9,73.0,2.2,5.24,1,Low,High
85.8,66.8,64.9,2.77,6.95,1,Medium,Low
73.1,70.2,81.6,5.82,6.8,1,Low,Low
67.2,46.7,70.3,2.69,6.99,1,Medium,Medium
89.6,72.9,95.0,2.54,4.97,0,Low,Low
76.5,45.9,100.0,4.95,7.47,0,High,Low
80.9,56.5,78.5,2.62,5.85,1,Low,Medium
92.6,88.5,48.6,2.66,6.72,2,High,Low
92.2,61.4,82.3,3.77,5.84,2,Medium,Medium
69.8,34.0,98.2,3.14,9.19,1,Low,Medium
67.1,81.8,84.1,0.0,6.93,2,Low,High
79.3,73.0,77.0,1.02,9.43,2,Low,Medium
73.0,75.5,89.9,3.92,6.11,2,High,Low
46.5,58.5,97.5,0.74,6.53,2,High,High
94.1,61.2,18.9,4.68,8.64,1,High,Low
75.3,50.8,100.0,2.76,6.43,2,Medium,High
86.0,42.4,86.6,3.24,7.4,1,High,Low
57.4,82.5,80.8,3.28,8.25,2,Medium,Medium
94.3,48.4,60.0,0.2,6.42,0,Medium,Medium
66.2,46.3,75.7,1.8,6.06,2,Low,High
73.4,47.0,83.3,1.3,6.57,1,Low,High
54.0,88.5,41.5,3.21,8.09,2,High,Medium
72.5,70.8,86.2,5.12,7.39,1,Low,Low
71.6,48.4,72.6,2.53,8.42,0,Low,Low
72.2,54.2,100.0,2.97,6.56,1,Medium,Medium
81.6,64.2,84.7,0.0,6.3,2,High,High
75.9,70.8,67.7,2.31,5.52,2,High,Medium
89.6,26.0,72.3,2.5,6.51,1,High,Medium
68.0,71.3,84.0,2.58,6.16,3,Medium,High
60.1,51.1,74.2,3.75,6.73,2,Medium,High
74.7,42.7,82.2,4.95,5.74,1,High,Medium
84.4,48.0,56.9,2.84,6.02,0,High,Low
93.7,69.3,46.2,3.45,6.5,0,Medium,Low
87.2,86.7,59.8,0.55,8.03,2,Low,Medium
48.5,57.7,42.6,3.77,6.47,1,High,Medium
80.7,65.0,55.7,2.92,6.19,0,Low,Low
96.9,40.3,78.3,0.27,8.1,1,High,Low
75.9,63.8,38.5,3.37,8.49,0,Low,Low
67.3,69.8,46.6,1.89,6.52,0,Medium,Medium
79.6,28.2,85.9,4.37,6.57,1,Low,Medium
67.5,45.8,60.6,3.55,4.7,3,Low,High
84.6,69.2,71.0,3.0,5.01,2,Medium,Medium
74.8,23.3,46.5,5.42,6.82,0,Medium,Medium
95.9,48.3,50.3,2.64,8.54,1,Low,Low
82.5,65.8,65.1,2.42,9.09,4,High,Medium
64.1,24.6,100.0,2.93,7.86,2,High,Medium
84.1,47.9,80.1,3.06,6.3,1,Low,Medium
89.0,56.0,37.7,1.62,7.49,2,High,Medium
66.5,71.0,80.2,3.74,5.12,3,High,High
68.6,32.0,89.7,3.52,6.78,0,Low,Medium
40.4,75.0,85.0,2.11,5.46,1,Medium,High
88.6,60.5,46.7,0.58,6.88,1,Low,Medium
66.2,76.5,69.9,4.7,8.6,0,Medium,Low
43.2,75.9,100.0,4.87,9.49,2,Low,Low
48.5,61.1,52.5,4.26,7.14,2,High,Medium
71.7,63.7,77.9,4.41,7.36,4,Low,High
86.4,23.7,56.2,5.62,4.9,2,Low,High
73.7,30.7,45.8,3.47,6.1,1,High,Medium
82.1,36.9,62.6,5.41,8.7,0,High,Low
58.5,48.7,91.8,2.78,8.27,0,High,Low
54.9,71.8,94.4,1.72,7.88,3,Low,High
88.3,22.9,53.6,3.05,7.42,0,Medium,Medium
82.4,49.2,61.7,2.57,8.86,3,High,Medium
74.5,31.2,53.4,3.77,6.58,0,Medium,Medium
94.2,27.0,29.7,5.75,6.65,2,Medium,High
60.7,81.6,83.3,3.68,10.0,0,High,Low
68.7,56.8,100.0,4.62,5.85,2,Low,High
90.4,84.4,100.0,6.23,7.42,0,Medium,Low
100.0,76.3,61.9,5.75,6.43,0,Low,Low
75.1,38.4,97.8,3.21,8.68,1,High,Low
100.0,21.6,93.1,2.08,6.57,2,High,Medium
66.0,92.3,64.5,6.25,6.47,0,Medium,Low
79.9,47.7,71.2,1.49,6.51,1,Medium,Medium
72.4,34.4,63.9,0.37,7.85,1,Medium,High
51.2,67.4,76.1,0.11,5.68,3,Low,High
78.9,57.5,100.0,4.84,5.11,1,Low,Medium
89.0,42.9,52.8,0.9,6.74,0,Low,Medium
72.8,48.8,47.5,2.71,6.46,1,Medium,Medium
73.9,57.9,88.8,2.9,7.53,1,High,Low
95.9,56.3,72.6,5.04,6.47,0,Low,Low
56.3,68.6,33.6,1.05,6.16,0,Low,High
52.5,48.6,51.2,3.18,7.23,0,High,Low
65.2,48.8,54.9,3.55,7.4,0,High,Low
57.1,65.8,59.2,5.2,8.11,1,Medium,Low
95.2,60.6,77.9,2.74,6.96,1,Low,Medium
79.6,74.7,91.3,3.51,4.71,2,Medium,Medium
62.0,50.5,68.2,2.69,6.83,2,Medium,High
65.8,53.2,74.4,4.74,6.9,1,Low,Medium
100.0,34.2,56.6,4.51,6.77,0,High,Low
65.8,82.0,91.9,2.53,7.53,1,Medium,Low
63.6,29.9,98.4,3.93,6.55,0,Low,Medium
79.6,58.6,66.2,0.9,8.22,2,Low,Medium
84.6,38.9,56.7,3.21,6.54,2,High,Medium
78.3,61.1,100.0,1.79,8.57,1,High,Low
61.4,68.4,90.1,2.49,5.55,0,High,Low
57.6,25.5,53.7,4.63,4.06,1,High,High
83.9,51.2,37.7,6.34,5.73,4,High,High
74.2,23.4,65.7,3.43,10.0,0,Low,Low
50.4,80.3,95.5,2.92,6.58,1,Medium,Medium
92.6,47.0,60.7,2.63,6.76,1,Medium,Medium
86.6,26.6,66.7,4.25,7.22,0,Low,Low
71.4,42.4,61.7,2.86,6.38,2,Medium,High
71.1,78.6,84.6,4.6,7.21,0,Medium,Low
78.5,81.8,99.5,5.44,7.04,2,High,Low
64.7,77.9,46.4,4.07,9.38,2,Low,Medium
54.8,40.9,65.9,2.56,8.34,3,Low,High
79.8,52.3,67.6,4.28,7.23,3,Medium,High
53.4,84.4,59.2,2.11,7.74,3,High,High
80.9,41.8,47.7,0.51,7.63,0,Low,High
53.4,49.0,88.1,4.85,5.61,0,Low,Medium
73.5,37.8,74.8,6.01,8.25,1,Medium,Low
73.0,34.0,86.1,5.12,6.15,2,Medium,Medium
100.0,76.7,100.0,2.6,7.86,1,Low,Low
59.0,66.4,64.4,0.0,7.08,1,High,Medium
53.8,63.1,82.5,2.04,8.0,0,Low,Low
65.3,65.4,63.6,4.07,8.63,1,Medium,Low
58.1,73.4,69.9,2.54,7.62,0,Low,Low
66.2,82.2,78.4,5.22,6.34,2,Medium,Medium
81.3,54.9,68.5,1.91,6.54,2,Medium,Medium
86.6,48.9,41.5,3.87,7.6,1,Medium,Low
99.9,36.6,100.0,3.46,6.42,1,High,Low
63.9,74.5,74.8,3.51,6.46,1,Low,Medium
100.0,45.7,48.8,1.02,6.78,1,High,Medium
100.0,28.1,27.5,2.97,6.49,2,Low,High
71.9,50.2,71.3,3.51,7.55,3,High,Medium
40.6,55.4,84.8,2.52,6.38,1,High,Medium
73.8,70.0,92.0,1.15,7.03,1,Medium,Low
76.1,73.1,94.1,2.38,6.04,3,Medium,High
40.5,41.8,64.1,1.68,4.84,1,Medium,High
76.1,40.6,84.7,3.63,7.88,1,Medium,Low
72.0,49.1,40.9,4.56,8.1,0,Low,Low
63.2,33.2,74.8,3.6,6.32,2,Medium,High
84.4,53.0,90.1,3.66,7.89,2,High,Low
90.1,63.3,59.6,2.84,7.3,0,Medium,Low
67.7,55.8,68.6,3.39,5.53,2,Low,High
78.4,26.0,73.9,0.18,8.35,3,Medium,High
65.2,33.5,74.5,3.21,4.53,2,Low,High
63.2,78.1,100.0,4.43,6.86,0,High,Low
76.2,36.8,50.2,2.31,7.79,3,Low,High
82.9,68.3,98.6,4.14,5.6,0,Medium,Low
66.6,66.4,46.8,0.84,8.86,2,High,Medium
41.8,49.2,58.4,3.17,6.22,1,High,High
83.8,37.1,56.2,2.81,8.44,0,High,Low
51.1,58.8,70.0,3.79,6.7,1,High,Medium
76.8,39.0,61.9,3.31,7.76,1,Low,Medium
100.0,51.8,81.5,6.44,6.87,2,High,Low
74.7,56.9,72.0,0.0,9.79,1,Medium,Low
57.2,42.1,100.0,0.91,7.44,1,Medium,Medium
53.1,50.9,79.5,2.08,8.18,2,Low,High
92.6,49.4,66.7,3.23,7.82,3,Low,High
74.7,32.8,79.3,2.12,7.19,2,Low,High
83.1,51.6,83.8,2.07,6.65,2,Medium,Medium
88.9,43.5,68.0,0.72,7.45,2,Low,High
74.3,22.2,49.5,1.04,8.16,3,Medium,High
70.4,48.9,55.7,1.78,8.06,0,Low,Medium
60.8,49.9,75.4,5.37,7.62,1,Medium,Low
30.0,44.1,88.5,1.86,6.81,3,Medium,High
52.2,17.9,81.4,7.24,7.83,0,Medium,Low
74.0,69.0,70.1,4.69,5.79,1,High,Low
72.4,67.3,83.1,2.65,6.96,1,High,Low
81.1,66.7,61.9,4.32,4.53,2,Low,High
73.1,60.8,77.0,4.63,6.16,1,Low,Low
77.4,32.4,100.0,1.28,6.8,1,Low,High
86.8,57.2,94.1,0.64,5.29,2,Low,High
61.7,38.3,98.9,5.3,5.61,1,Low,Medium
70.7,94.4,64.4,1.64,8.12,2,High,Low
50.9,45.6,75.9,4.4,7.6,0,High,Low
89.6,67.0,51.6,4.12,8.31,1,Medium,Low
75.6,27.1,90.2,0.57,8.41,1,Medium,Medium
82.3,33.8,63.3,4.07,7.78,2,Medium,Medium
98.1,45.3,45.4,3.94,7.97,2,Low,Medium
91.2,67.6,61.8,5.02,7.37,0,Medium,Low
74.1,64.9,76.8,3.04,8.56,3,Medium,Medium
86.8,60.2,27.6,3.78,5.18,1,Low,High
53.5,21.6,43.4,3.66,6.81,1,Low,High
81.5,75.4,91.5,2.74,8.26,1,Medium,Low
77.1,38.3,73.6,5.56,8.03,1,High,Low
50.7,84.1,70.8,4.55,7.1,2,Low,Medium
95.1,88.6,39.5,5.41,6.63,1,Medium,Low
64.4,69.9,100.0,3.63,8.03,1,Low,Low
85.2,72.8,92.3,4.85,6.82,1,Low,Low
68.7,32.3,85.8,1.66,5.68,3,High,High
89.9,100.0,49.5,2.16,8.42,2,Medium,Low
94.7,58.9,83.3,4.6,6.57,3,Medium,Medium
62.5,73.0,94.6,2.75,7.25,0,Low,Low
52.0,39.6,65.2,2.49,5.08,2,High,High
73.0,53.8,66.7,3.33,3.95,1,High,High
87.7,33.6,62.2,0.71,7.57,2,Medium,High
69.4,50.7,83.7,3.34,9.02,1,High,Low
65.8,55.3,67.0,3.83,4.29,2,Medium,High
82.3,59.6,65.3,2.61,6.4,0,Medium,Low
33.6,80.1,42.6,1.4,7.7,0,Medium,Medium
65.0,63.7,38.4,5.73,7.25,1,Low,Medium
54.2,59.4,90.4,3.73,7.1,3,Low,High
79.4,55.7,100.0,1.55,6.99,1,Low,Medium
64.0,91.2,89.0,2.2,5.86,1,Medium,Medium
58.3,44.6,100.0,0.65,8.34,1,Medium,Medium
69.7,76.4,60.8,0.47,8.18,1,Low,High
53.0,19.7,70.6,0.21,7.46,2,Medium,High
74.8,39.2,79.1,1.83,4.27,2,Low,High
64.8,62.4,68.3,3.73,9.04,0,Low,Low
69.3,52.1,100.0,4.2,6.96,2,Medium,Medium
64.2,100.0,45.1,2.92,7.65,3,High,Medium
88.7,100.0,60.1,4.63,9.33,0,High,Low
73.4,27.7,64.6,3.95,8.6,1,Low,Medium
82.9,35.7,57.4,1.36,6.92,4,High,High
82.2,52.4,88.5,1.82,8.31,3,Low,High
62.9,86.3,31.7,3.52,7.74,0,Low,Low
83.5,75.5,94.3,4.12,6.33,0,Medium,Low
80.2,60.9,89.7,4.73,7.19,2,Low,Medium
79.7,29.5,77.9,1.02,4.9,0,Low,High
69.0,39.8,99.5,0.16,5.14,2,Low,High
68.6,6.7,100.0,6.14,7.26,1,Low,Medium
86.8,27.4,75.3,2.68,8.73,1,Medium,Medium
100.0,62.7,86.3,4.6,5.85,1,Low,Low
62.5,69.3,79.5,3.15,8.47,0,Low,Low
83.0,31.6,82.1,1.02,7.21,2,Medium,High
69.5,57.0,61.6,5.22,9.19,2,High,Low
86.8,84.3,57.3,3.82,6.6,4,Medium,High
81.6,58.0,83.9,5.34,10.0,0,Medium,Low
90.9,49.6,61.4,4.03,7.58,1,High,Low
33.1,66.1,90.4,1.63,6.75,1,Medium,High
66.0,64.6,87.8,3.06,7.34,1,Low,Medium
60.2,56.5,62.9,4.62,4.83,2,Low,High
73.4,45.5,79.1,2.08,7.45,2,High,Medium
64.1,47.5,73.5,3.41,6.65,0,High,Medium
65.4,56.7,69.2,4.88,7.64,1,High,Low
85.2,45.2,94.6,1.26,6.64,1,Medium,Medium
100.0,79.1,72.8,2.57,3.76,2,Medium,High
32.6,71.2,76.6,3.4,3.9,2,Medium,High
70.3,74.7,33.2,4.58,6.24,2,Medium,High
79.7,91.6,83.9,2.99,5.5,2,Medium,Medium
75.1,83.5,43.2,2.06,8.08,1,Low,Medium
69.8,80.6,64.3,3.98,5.72,0,Low,Low
54.7,61.8,100.0,2.22,7.55,3,Medium,High
60.9,51.6,100.0,3.77,6.82,0,Medium,Low
85.9,96.5,64.2,3.68,8.88,2,High,Low
91.1,43.0,46.9,2.85,7.12,1,Medium,Medium
76.5,43.9,80.0,4.43,7.25,2,Low,Medium
62.5,39.4,64.1,4.92,5.79,0,Medium,Medium
76.4,59.0,78.8,1.18,7.46,2,Medium,Medium
71.4,62.6,45.2,3.93,7.82,0,High,Low
83.2,73.6,94.4,2.9,6.87,2,Low,Medium
76.8,51.0,100.0,2.7,7.86,2,Medium,Low
65.7,23.9,43.2,3.28,5.75,2,Low,High
77.9,60.8,56.7,4.92,6.74,0,High,Low
57.3,72.6,58.2,2.93,7.5,1,Medium,Medium
87.3,55.6,86.7,2.67,6.63,2,Medium,Medium
92.7,52.7,32.8,1.27,8.49,1,Medium,Medium
57.3,65.2,76.2,2.91,7.78,1,Medium,Low
81.3,80.9,67.5,3.16,6.26,2,Medium,Medium
60.1,53.9,56.3,1.73,5.89,0,Low,High
91.1,29.5,86.2,2.71,7.0,2,Medium,Medium
88.6,44.9,33.1,3.89,6.13,1,High,Low
71.5,52.1,44.8,5.26,6.53,2,Low,High
89.9,22.6,56.5,2.75,5.65,2,High,High
68.5,68.9,86.3,6.18,7.94,0,Low,Low
65.4,41.2,65.2,4.68,7.21,0,Medium,Low
66.5,64.2,55.6,4.49,7.37,0,High,Low
72.9,58.6,81.7,4.08,7.99,0,Medium,Low
70.1,49.4,62.6,3.35,4.24,4,Low,High
77.3,84.3,59.3,2.26,7.05,0,Medium,Low
65.8,44.9,66.1,3.11,6.71,0,Medium,Medium
86.5,42.9,79.0,3.3,7.83,1,High,Low
